AIアシスタント|||AI assistant|||AI 助手
アソート商品ページとは？|||What is the Assort (bulk) page?|||什么是混装批发商品页面？
1点ずつ選ぶなら|||To pick items one by one, choose|||逐件挑选请选
【アソート商品ページ】\nカテゴリ・ブランドごとにまとめた古着セットのまとめ買い専用ページです。\n\n・数量指定でご注文いただけます\n・ヘッダーの「アソート商品」ボタンから切り替えできます\n\n1点ずつ選ぶならデタウリ、まとめ買いならアソートがおすすめです！|||[Assort (bulk) page]\nA bulk-buying page for used-clothing sets grouped by category and brand.\n\n- Order by specifying a quantity\n- Switch to it with the "Assort (bulk)" button in the header\n\nUse Detauri to pick items one by one, and Assort to buy in bulk!|||【混装批发商品页面】\n这是按分类与品牌整合的二手服装套装的批量采购专用页面。\n\n・可指定数量下单\n・可通过页眉的「混装批发商品」按钮切换\n\n逐件挑选推荐 Detauri，批量采购推荐混装批发！
のまとめ買い専用ページです|||is a bulk-buying page|||的批量采购专用页面
カテゴリ・ブランドごとにまとめた|||Grouped by category and brand,|||按分类与品牌整合的
古着セット|||used-clothing sets|||二手服装套装
送料・配送|||Shipping & delivery|||运费・配送
送料はいくら？|||How much is shipping?|||运费是多少？
配送にかかる日数は？|||How long does delivery take?|||配送需要多少天？
決済完了後、通常3〜5営業日（土日祝休み）で発送いたします。\nお届けまでの日数は地域により異なりますが、発送から1〜3日程度です。\n\n※繁忙期や天候・災害等により遅延する場合がございます。|||We ship within 3-5 business days of payment (closed weekends and holidays).\nDelivery time varies by region, but is usually 1-3 days after dispatch.\n\n*Busy periods, weather, and disasters can cause delays.|||付款完成后，通常在3〜5个工作日（周末及节假日休息）内发货。\n送达天数因地区而异，一般为发货后1〜3天。\n\n*旺季或天气、灾害等可能导致延迟。
送料無料になる条件は？|||How do I get free shipping?|||免运费的条件是什么？
決済方法は？|||What payment methods can I use?|||有哪些支付方式？
【ご利用可能な決済方法】\n・クレジットカード（Visa/Mastercard/JCB/AMEX/Diners/Discover）\n・Apple Pay\n・コンビニ決済（別途手数料220円）\n・銀行振込（振込手数料はお客様負担）\n・PayPay\n・ペイジー（振込手数料はお客様負担）\n・Paidy（あと払い・翌月10日まで）\n\nクレジットカード・Apple Pay・PayPayが最もスムーズにお手続きいただけます。|||[Available payment methods]\n- Credit card (Visa/Mastercard/JCB/AMEX/Diners/Discover)\n- Apple Pay\n- Convenience store (¥220 fee)\n- Bank transfer (transfer fee paid by you)\n- PayPay\n- Pay-easy (transfer fee paid by you)\n- Paidy (pay later, due by the 10th of next month)\n\nCredit card, Apple Pay, and PayPay are the smoothest.|||【可用的支付方式】\n・信用卡（Visa/Mastercard/JCB/AMEX/Diners/Discover）\n・Apple Pay\n・便利店支付（另收220日元手续费）\n・银行转账（转账手续费由客户承担）\n・PayPay\n・Pay-easy（转账手续费由客户承担）\n・Paidy（后付款・次月10日前）\n\n信用卡・Apple Pay・PayPay 办理最为顺畅。
コンビニ決済の手数料は？|||What is the convenience store fee?|||便利店支付的手续费是多少？
コンビニ決済をご利用の場合、別途220円の手数料がかかります。\n\n手数料を抑えたい場合は、クレジットカード・Apple Pay・PayPay決済がおすすめです。|||Convenience store payment carries a separate ¥220 fee.\n\nTo avoid it, we recommend credit card, Apple Pay, or PayPay.|||使用便利店支付时需另付220日元手续费。\n\n若想省下手续费，推荐使用信用卡・Apple Pay・PayPay 支付。
銀行振込の手数料は？|||What is the bank transfer fee?|||银行转账的手续费是多少？
銀行振込をご利用の場合、振込手数料はお客様のご負担となります。\n手数料の金額はご利用の金融機関により異なります。\nペイジーも同様です。|||With a bank transfer, the transfer fee is paid by you.\nThe amount depends on your bank.\nThe same applies to Pay-easy.|||使用银行转账时，转账手续费由客户承担。\n手续费金额因您使用的金融机构而异。\nPay-easy 亦同。
割引・セール|||Discounts & sales|||折扣・促销
割引はある？|||Are there any discounts?|||有折扣吗？
数量割引はある？|||Is there a volume discount?|||有数量折扣吗？
以前の「10/30/50/100点で5〜20%OFF」の数量割引は2026年4月で終了しました。\n\n現在は以下の割引をご利用いただけます：\n・会員登録で全品10%OFF（2026年9月末まで）\n・初回注文は全品50%OFFキャンペーン（2026年9月末まで）\n\n無料会員登録だけでしっかりお得にご購入いただけます。|||The old volume discount ("5-20% OFF at 10/30/50/100 items") ended in April 2026.\n\nThe current discounts are:\n- 10% OFF everything when you sign up (until end of September 2026)\n- 50% OFF everything on your first order (until end of September 2026)\n\nA free account alone gets you a solid deal.|||以往的「10/30/50/100件享5〜20%OFF」数量折扣已于2026年4月结束。\n\n目前可使用以下折扣：\n・注册会员全场9折（截至2026年9月底）\n・首单全场5折活动（截至2026年9月底）\n\n仅需免费注册会员即可享受实惠。
会員割引の期間は？|||How long does the member discount last?|||会员折扣的期限是？
会員登録で全品10%OFFの特典は2026年9月末までの期間限定です。\n\n・無料登録するだけで適用\n・期間中はいつでもご利用いただけます\n\nお早めの登録がおすすめです！|||The 10% OFF sign-up benefit runs only until the end of September 2026.\n\n- Applies as soon as you register for free\n- Usable any time during the period\n\nWe recommend signing up early!|||注册会员全场9折的优惠仅限至2026年9月底。\n\n・只需免费注册即可享受\n・活动期间随时可用\n\n建议尽早注册！
会員登録の方法は？|||How do I create an account?|||如何注册会员？
【会員登録の方法】\n画面上部の「無料会員登録」ボタンからお手続きいただけます。\n\n・メールアドレスとパスワードの設定だけで完了\n・登録は無料です\n・登録直後から会員割引（10%OFF）が適用されます\n・初回登録で500ポイントプレゼント！|||[How to sign up]\nUse the "Free sign-up" button at the top of the screen.\n\n- All you need is an email address and a password\n- Registration is free\n- The 10% member discount applies immediately\n- You get 500 bonus points for signing up!|||【会员注册方法】\n可通过页面上方的「免费注册会员」按钮办理。\n\n・仅需设置邮箱地址与密码即可完成\n・注册免费\n・注册后立即享受会员折扣（9折）\n・首次注册赠送500积分！
会員ランクについて|||About membership ranks|||关于会员等级
ダイヤモンド会員の特典は？|||What do Diamond members get?|||钻石会员有什么优惠？
【ダイヤモンド会員特典】\n・送料無料（国内全域）\n・ポイント5%還元\n\n条件：年間購入額50万円以上（月平均約¥42,000）\nたくさんご利用いただくほどお得になります！|||[Diamond member benefits]\n- Free shipping (anywhere in Japan)\n- 5% back in points\n\nRequirement: ¥500,000+ in purchases per year (about ¥42,000 a month)\nThe more you buy, the better it gets!|||【钻石会员优惠】\n・免运费（日本国内全域）\n・积分5%返还\n\n条件：年度购买金额50万日元以上（月均约¥42,000）\n使用越多越实惠！
商品・機能|||Products & features|||商品・功能
状態ランクの見方は？|||How do I read the condition ranks?|||状态等级怎么看？
【状態ランク一覧】\n・S：新品・未使用・タグ付きなど\n・A：使用感がほとんどない美品\n・AB：多少の使用感があるが状態良好\n・B：一般的な使用感・軽微なダメージあり\n・C：使用感強め・目立つダメージあり\n・D：ジャンク・難あり品\n\n各商品の詳細ページで写真とあわせてご確認ください。|||[Condition ranks]\n- S: New, unused, with tags, etc.\n- A: Excellent, almost no signs of wear\n- AB: Some signs of wear but in good condition\n- B: Normal signs of wear, minor damage\n- C: Heavy signs of wear, noticeable damage\n- D: Junk / defective\n\nCheck each item's detail page along with the photos.|||【状态等级一览】\n・S：全新・未使用・带吊牌等\n・A：几乎无使用痕迹的美品\n・AB：略有使用痕迹但状态良好\n・B：一般使用痕迹・有轻微损伤\n・C：使用痕迹明显・有显著损伤\n・D：残次品・有瑕疵\n\n请在各商品的详情页面结合照片确认。
採寸データはある？|||Do you provide measurements?|||有尺寸数据吗？
はい、すべての商品に採寸データが付いています。\n\n商品詳細ページで寸法（着丈・身幅・肩幅・袖丈など）をご確認いただけます。\nフリマアプリへの出品時にそのまま活用できます。|||Yes, every item comes with measurement data.\n\nYou can see the dimensions (length, chest width, shoulder width, sleeve length, etc.) on the item detail page.\nYou can use them directly when listing on marketplace apps.|||是的，所有商品均附有尺寸数据。\n\n可在商品详情页面查看尺寸（衣长・胸宽・肩宽・袖长等）。\n可直接用于二手交易App的商品刊登。
商品詳細|||Item details|||商品详情
フィルタの絞り込みは？検索の方法|||How do filters and search work?|||如何使用筛选与搜索？
【フィルター機能】\n・ブランド・カテゴリ・価格帯・状態ランクなどで絞り込みが可能です\n・複数条件の同時選択もできます\n・キーワード検索バーから商品名やブランド名で検索することもできます\n\nぜひご活用ください！|||[Filters]\n- Filter by brand, category, price range, condition rank, and more\n- You can combine several conditions at once\n- You can also search by item or brand name in the keyword search bar\n\nPlease make use of them!|||【筛选功能】\n・可按品牌、分类、价格区间、状态等级等筛选\n・支持同时选择多个条件\n・也可通过关键词搜索栏按商品名或品牌名搜索\n\n欢迎多加利用！
新しい商品・新商品・入荷・新着は？|||What about new arrivals?|||新商品・上新情况如何？
新商品は不定期で追加しています（週に数回程度）。\n\n画面上部の並び替えで「新着順」を選ぶと、最近追加された商品を確認できます。\n具体的な入荷日時の事前告知は行っておりませんが、こまめにチェックしていただくと新しい商品に出会えます！|||We add new items irregularly (a few times a week).\n\nChoose "Newest" in the sort control at the top to see recently added items.\nWe do not announce exact restock times in advance, so check back often to find new pieces!|||新商品不定期上架（约每周数次）。\n\n在页面上方的排序中选择「最新顺序」，即可查看最近添加的商品。\n我们不会预告具体的上新时间，勤加查看就能遇到新商品！
副業物販お役立ち情報って何？|||What are the side-business selling tips?|||副业电商实用资讯是什么？
【副業物販お役立ち情報】\n画面左下のボタンから、物販に役立つノウハウ記事を読むことができます。\n\n・不定期で新しい記事を配信中\n・フリマアプリでの売り方や仕入れのコツなど\n・副業物販を始める方に役立つ情報が満載です|||[Side-business selling tips]\nUse the button at the bottom left to read know-how articles about reselling.\n\n- New articles published irregularly\n- How to sell on marketplace apps, sourcing tips, and more\n- Packed with useful information for anyone starting out|||【副业电商实用资讯】\n可通过屏幕左下角的按钮阅读对电商有帮助的知识文章。\n\n・不定期发布新文章\n・二手交易App的销售方法与进货诀窍等\n・为刚开始副业电商的人提供丰富实用的信息
売り方|||Selling|||销售方法
返品・サポート|||Returns & support|||退货・支持
返品・交換はできる？|||Can I return or exchange?|||可以退换货吗？
返品・交換は原則お受けしておりません。\n\nただし、商品内容が記載事項と大きく異なる場合は、商品到着後7日以内にご連絡ください。\n\n✉ お問い合わせ よりご連絡いただけます。|||As a rule we do not accept returns or exchanges.\n\nHowever, if an item differs significantly from its description, contact us within 7 days of delivery.\n\nYou can reach us via ✉ Contact us.|||原则上不接受退换货。\n\n但若商品内容与说明存在重大差异，请在收到商品后7天内联系我们。\n\n可通过 ✉ 联系我们 与我们联络。
お問い合わせしたい|||I want to contact you|||我想咨询
お問い合わせは以下の方法で承っております：\n\n✉ お問い合わせ フォームからご連絡ください。\n\n営業時間内にご返信いたします。\nお気軽にどうぞ！|||You can reach us as follows:\n\nPlease use the ✉ Contact us form.\n\nWe reply during business hours.\nFeel free to get in touch!|||我们通过以下方式受理咨询：\n\n请通过 ✉ 联系我们 表单与我们联络。\n\n我们将在营业时间内回复。\n欢迎随时联系！
営業時間は？|||What are your business hours?|||营业时间是？
ご注文は365日24時間いつでも可能です。\n\n発送・事務処理：平日 10:00〜18:00\n（土日祝は発送・事務処理休み）\n\n営業時間外のお問い合わせは翌営業日にご返信いたします。|||You can order 24/7, 365 days a year.\n\nShipping and office work: weekdays 10:00-18:00\n(closed on weekends and holidays)\n\nEnquiries outside business hours are answered the next business day.|||下单全年365天24小时均可。\n\n发货・事务处理：工作日 10:00〜18:00\n（周末及节假日不发货、不处理事务）\n\n营业时间外的咨询将于下个工作日回复。
こんにちは！デタウリ.Detauriへようこそ。\n副業物販向けの古着卸売りプラットフォームです。\nご質問のカテゴリをお選びいただくか、下の入力欄から自由にご質問ください。|||Hello, and welcome to Detauri.\nWe are a used-clothing wholesale platform for side-business sellers.\nPick a question category, or type your own question in the box below.|||您好！欢迎来到 Detauri。\n我们是面向副业电商的二手服装批发平台。\n请选择问题分类，或在下方输入栏自由提问。
カテゴリに戻る|||Back to categories|||返回分类
カテゴリをお選びください。|||Please choose a category.|||请选择分类。
他にもご質問がありましたら、カテゴリをお選びいただくか、自由に入力してください。|||If you have another question, pick a category or just type it.|||若还有其他问题，请选择分类或自由输入。
スタッフに問い合わせる|||Contact a staff member|||联系客服人员
画像は最大3枚までです。|||You can attach up to 3 images.|||最多可添加3张图片。
全ての項目を入力してください|||Please fill in every field|||请填写所有项目
全ての項目を入力してください。|||Please fill in every field.|||请填写所有项目。
お問い合わせを送信しました。2営業日以内にご返信いたします。\n引き続きご質問がありましたらお気軽にどうぞ。|||Your message has been sent. We will reply within 2 business days.\nFeel free to keep asking if you have more questions.|||咨询已发送。我们将在2个工作日内回复。\n如仍有疑问，欢迎随时提问。
送信に失敗しました。お手数ですがもう一度お試しください。|||Sending failed. Please try again.|||发送失败。麻烦您再试一次。
メッセージは500文字以内でお願いします。|||Please keep your message under 500 characters.|||消息请控制在500字以内。
申し訳ございません。お探しの情報が見つかりませんでした。\n\n詳しくは ✉ お問い合わせ よりスタッフにお問い合わせください。\n担当者が直接ご対応いたします。|||Sorry, we could not find what you are looking for.\n\nPlease contact our staff via ✉ Contact us.\nA member of our team will help you directly.|||抱歉，未能找到您所需的信息。\n\n详情请通过 ✉ 联系我们 咨询客服人员。\n将由负责人直接为您处理。
一時的に接続できませんでした。\n\nお手数ですが、もう一度お試しいただくか、✉ お問い合わせ よりスタッフにご連絡ください。|||We could not connect just now.\n\nPlease try again, or reach our staff via ✉ Contact us.|||暂时无法连接。\n\n麻烦您再试一次，或通过 ✉ 联系我们 与客服人员联络。
お答えできません|||We cannot answer that|||无法回答
対応できません|||We cannot help with that|||无法处理
情報がありません|||No information available|||暂无信息
記事を検索...|||Search articles...|||搜索文章...
売り方ガイド|||Selling guide|||销售指南
仕入れノウハウ|||Sourcing know-how|||进货诀窍
副業の始め方|||Getting started|||副业入门
副業基礎|||Side-business basics|||副业基础
トレンド|||Trends|||趋势
記事を読み込み中...|||Loading articles...|||文章加载中...
まだ記事がありません。|||No articles yet.|||暂无文章。
新しい記事は不定期で追加されます。|||New articles are added from time to time.|||新文章将不定期添加。
← 記事一覧に戻る|||← Back to article list|||← 返回文章列表
Yahoo!フリマ|||Yahoo! Flea Market|||Yahoo!跳蚤市场
ツール活用|||Using tools|||工具运用
メルカリ|||Mercari|||Mercari
ラクマ|||Rakuma|||Rakuma
中国輸入|||Importing from China|||中国进口
副業全般|||Side business|||副业综合
記事の読み込みに失敗しました。|||Could not load the articles.|||文章加载失败。
カートを確認 →|||View cart →|||查看购物车 →
カートを見る →|||View cart →|||查看购物车 →
確保しました|||Held for you|||已为您占用
URLをコピーしました|||URL copied|||已复制链接
URLをコピーしました — Instagramストーリーズに貼り付けてシェアできます|||URL copied - paste it into your Instagram story to share|||已复制链接 — 可粘贴到 Instagram 快拍分享
ちょっと待ってください！|||Wait a moment!|||请稍等一下！
カートに商品が入っています。|||You still have items in your cart.|||购物车中还有商品。
確保時間内にご注文いただくと、在庫を確実に確保できます。|||Order within the hold period to secure your stock.|||在占用时间内下单即可确保库存。
カートを確認する|||Check my cart|||查看购物车
🎉 先行登録のお得・9/30まで|||🎉 Early sign-up offer - until Sep 30|||🎉 抢先注册优惠・截至9月30日
+ 500ポイント|||+ 500 points|||+ 500积分
初回購入 全品50%OFF|||50% OFF everything on your first order|||首单全场5折
30秒で無料登録 →|||Sign up free in 30 seconds →|||30秒免费注册 →
※初回50%OFFは2026年9月30日まで・初回購入のみ・会員登録必須|||*First-order 50% OFF runs until September 30, 2026, applies to your first order only, and requires an account|||*首单5折截至2026年9月30日・仅限首单・需注册会员
